날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,11516,13.82,1.9,1585,2.28,500
2012-01-03,11516,14.01,1.93,1585,2.25,500
2012-01-04,11516,14.1,1.94,1585,2.24,500
2012-01-05,11516,14.51,2.0,1585,2.17,500
2012-01-06,11516,14.29,1.97,1585,2.21,500
2012-01-09,11516,14.1,1.94,1585,2.24,500
2012-01-10,11516,14.32,1.97,1585,2.2,500
2012-01-11,11516,14.07,1.94,1585,2.24,500
2012-01-12,11516,14.01,1.93,1585,2.25,500
2012-01-13,11516,13.25,1.82,1585,2.38,500
2012-01-16,11516,13.25,1.82,1585,2.38,500
2012-01-17,11516,13.12,1.81,1585,2.4,500
2012-01-18,11516,13.5,1.86,1585,2.34,500
2012-01-19,11516,13.69,1.88,1585,2.3,500
2012-01-20,11516,13.69,1.88,1585,2.3,500
2012-01-25,11516,13.63,1.88,1585,2.31,500
2012-01-26,11516,13.6,1.87,1585,2.32,500
2012-01-27,11516,13.69,1.88,1585,2.3,500
2012-01-30,11516,13.66,1.88,1585,2.31,500
2012-01-31,11516,13.82,1.9,1585,2.28,500
2012-02-01,11516,13.94,1.92,1585,2.26,500
2012-02-02,11516,14.2,1.95,1585,2.22,500
2012-02-03,11516,14.16,1.95,1585,2.23,500
2012-02-06,11516,13.75,1.89,1585,2.29,500
2012-02-07,11516,14.04,1.93,1585,2.25,500
2012-02-08,11516,14.13,1.95,1585,2.23,500
2012-02-09,11516,14.23,1.96,1585,2.22,500
2012-02-10,11516,14.07,1.94,1585,2.24,500
2012-02-13,11516,14.2,1.95,1585,2.22,500
2012-02-14,11516,14.79,2.04,1585,2.13,500
2012-02-15,11516,15.02,2.07,1585,2.1,500
2012-02-16,11516,15.33,2.11,1585,2.06,500
2012-02-17,11516,14.95,2.06,1585,2.11,500
2012-02-20,11516,15.11,2.08,1585,2.09,500
2012-02-21,11516,15.3,2.11,1585,2.06,500
2012-02-22,11516,15.14,2.08,1585,2.08,500
2012-02-23,11516,15.14,2.08,1585,2.08,500
2012-02-24,11516,15.11,2.08,1585,2.09,500
2012-02-27,11516,15.74,2.17,1585,2.0,500
2012-02-28,11516,15.77,2.17,1585,2.0,500
2012-02-29,11516,15.93,2.19,1585,1.98,500
2012-03-02,11516,15.9,2.19,1585,1.98,500
2012-03-05,11516,15.71,2.16,1585,2.01,500
2012-03-06,11516,15.77,2.17,1585,2.0,500
2012-03-07,11516,15.36,2.11,1585,2.05,500
2012-03-08,11516,15.33,2.11,1585,2.06,500
2012-03-09,11516,14.98,2.06,1585,2.11,500
2012-03-12,11516,14.57,2.01,1585,2.16,500
2012-03-13,11516,15.33,2.11,1585,2.06,500
2012-03-14,11516,15.33,2.11,1585,2.06,500
2012-03-15,11516,15.24,2.1,1585,2.07,500
2012-03-16,11516,15.3,2.11,1585,2.06,500
2012-03-19,11516,14.86,2.04,1585,2.12,500
2012-03-20,11516,14.51,2.0,1585,2.17,500
2012-03-21,11516,14.7,2.02,1585,2.15,500
2012-03-22,11516,14.45,1.99,1585,2.18,500
2012-03-23,11516,14.73,2.03,1585,2.14,500
2012-03-26,11516,15.11,2.08,1585,2.09,500
2012-03-27,11516,15.08,2.08,1585,2.09,500
2012-03-28,11516,14.51,2.0,1585,2.17,500
2012-03-29,11516,14.38,1.98,1585,2.19,500
2012-03-30,11516,13.97,1.92,1585,2.26,500
2012-04-02,11516,14.13,1.95,1585,2.23,500
2012-04-03,11516,14.13,1.95,1585,2.23,500
2012-04-04,11516,14.38,1.98,1585,2.19,500
2012-04-05,11516,14.83,2.04,1585,2.13,500
2012-04-06,11516,14.86,2.04,1585,2.12,500
2012-04-09,11516,15.02,2.07,1585,2.1,500
2012-04-10,11516,14.86,2.04,1585,2.12,500
2012-04-12,11516,14.54,2.0,1585,2.17,500
2012-04-13,11516,14.23,1.96,1585,2.22,500
2012-04-16,11516,14.35,1.98,1585,2.2,500
2012-04-17,11516,14.38,1.98,1585,2.19,500
2012-04-18,11516,14.32,1.97,1585,2.2,500
2012-04-19,11516,14.23,1.96,1585,2.22,500
2012-04-20,11516,14.26,1.96,1585,2.21,500
2012-04-23,11516,14.23,1.96,1585,2.22,500
2012-04-24,8602,10.91,2.64,2086,2.64,600
2012-04-25,8602,11.19,2.71,2086,2.57,600
2012-04-26,8602,10.93,2.65,2086,2.63,600
2012-04-27,8602,10.76,2.61,2086,2.67,600
2012-04-30,8602,10.62,2.57,2086,2.71,600
2012-05-02,8602,10.59,2.57,2086,2.71,600
2012-05-03,8602,10.52,2.55,2086,2.73,600
2012-05-04,8602,10.45,2.53,2086,2.75,600
2012-05-07,8602,10.16,2.46,2086,2.83,600
2012-05-08,8602,10.59,2.57,2086,2.71,600
